ts_code,trade_date,open,low,high,close,pre_close,change,pct_change,vol,amount
CI005001.CI,20260821,3653.2517,3614.4965,3748.5808,3699.8987,3641.9513,57.9474,1.5911,19048908.52,19755218.29
CI005001.CI,20260820,3636.1025,3584.2442,3730.7548,3641.9477,3646.2831,-4.3354,-0.1189,18820504.09,19659362.17
CI005001.CI,20260819,3614.4776,3570.151,3713.7722,3646.2867,3615.4075,30.8792,0.8541,23846367.76,24034626.88
CI005001.CI,20260818,3574.0329,3541.2865,3648.0106,3615.4003,3549.9604,65.4399,1.8434,20577828.23,19415023.28
CI005001.CI,20260817,3516.0722,3486.4862,3577.4746,3549.9604,3514.0921,35.8683,1.0207,14195725.22,14898029.44
CI005001.CI,20260814,3491.395,3450.7572,3554.5834,3514.085,3505.1784,8.9066,0.2541,13951031.17,14211883.86
CI005001.CI,20260813,3543.6244,3474.2228,3576.0724,3505.1819,3556.0008,-50.8189,-1.4291,16400577.49,17476399.77
CI005001.CI,20260812,3601.4205,3527.4123,3634.7571,3555.9937,3608.6547,-52.661,-1.4593,17347116.21,17056733.66
CI005001.CI,20260811,3627.8526,3556.1675,3691.4478,3608.6584,3602.926,5.7324,0.1591,20072436.84,20643344.59
CI005001.CI,20260810,3549.1222,3527.1312,3656.43,3602.9296,3548.1706,54.759,1.5433,16175214.48,18765233.63
CI005001.CI,20260807,3531.1045,3495.5817,3599.2526,3548.1741,3519.2494,28.9247,0.8219,16848481.64,20203582.9
CI005001.CI,20260806,3448.3495,3424.8984,3540.4472,3519.2565,3449.3517,69.9048,2.0266,18357386.35,19976900.28
CI005001.CI,20260805,3422.7082,3377.4673,3494.3216,3449.3482,3451.0013,-1.6531,-0.0479,18363098.78,19452315.57
CI005001.CI,20260804,3471.1527,3405.1628,3508.4003,3450.9979,3479.758,-28.7601,-0.8265,16534120.57,15986360.65
CI005001.CI,20260803,3443.9253,3399.9682,3540.0214,3479.7545,3475.5491,4.2054,0.121,17026726.92,16491726.92
CI005001.CI,20260731,3425.5602,3398.8975,3513.8693,3475.5561,3491.8841,-16.328,-0.4676,18586801.9,17883538.77
CI005001.CI,20260730,3462.7432,3411.612,3542.0455,3491.8806,3445.1404,46.7402,1.3567,21038950.3,19742702.32
CI005001.CI,20260729,3424.4368,3373.1195,3501.7121,3445.1404,3413.8863,31.2541,0.9155,18371936.01,17814742.78
CI005001.CI,20260728,3373.7927,3326.7638,3446.7943,3413.8761,3424.595,-10.7189,-0.313,17315862.25,16583105.61
CI005001.CI,20260727,3319.1503,3278.0553,3446.2533,3424.595,3818.4803,-393.8853,-10.3152,21740077.97,21011734.18
CI005001.CI,20260724,3533.6878,3385.3308,3583.4106,3416.9956,3508.0179,-91.0223,-2.5947,26332788.81,25215018.95
CI005001.CI,20260723,3453.7374,3414.8025,3541.1284,3508.0179,3460.2253,47.7926,1.3812,22805905.73,19863816.36
CI005001.CI,20260722,3379.0372,3339.279,3492.2131,3460.2184,3361.8802,98.3382,2.9251,25739113.21,23410641.96
CI005001.CI,20260721,3379.9446,3279.5537,3436.3442,3361.8768,3422.28,-60.4032,-1.765,29384361.28,26908519.03
CI005001.CI,20260720,3323.3184,3276.1069,3485.7432,3422.2903,3286.4257,135.8646,4.1341,35246200.42,29062957.69
CI005001.CI,20260717,3280.2367,3224.8686,3367.6456,3286.4192,3276.7593,9.6599,0.2948,25319645.32,21467252.68
CI005001.CI,20260716,3319.1594,3236.9072,3366.4109,3276.7658,3332.9258,-56.16,-1.685,21705134.71,18294323.81
CI005001.CI,20260715,3313.3049,3257.5068,3403.0678,3332.9225,3360.9596,-28.0371,-0.8342,26753930.08,22843077.83
CI005001.CI,20260714,3276.7071,3222.8655,3393.3967,3360.9595,3242.7453,118.2142,3.6455,33952151.17,28987323.66
CI005001.CI,20260713,3286.6733,3183.2964,3353.1091,3242.7453,3263.8723,-21.127,-0.6473,27201138.76,24474582.14
CI005001.CI,20260710,3238.1297,3165.4204,3328.3715,3263.8723,3279.2125,-15.3402,-0.4678,24248144.27,24127420.73
CI005001.CI,20260709,3302.5105,3209.8737,3362.6458,3279.2126,3284.3986,-5.186,-0.1579,26179971.31,24157352.21
CI005001.CI,20260708,3313.9553,3233.6424,3386.5787,3284.3921,3290.8322,-6.4401,-0.1957,21783820.53,22185609.91
CI005001.CI,20260707,3385.333,3238.7746,3420.6495,3290.8289,3397.3212,-106.4923,-3.1346,20859628.57,23371391.19
CI005001.CI,20260706,3339.265,3286.2134,3482.0197,3397.3246,3330.9977,66.3269,1.9912,23290452.09,28033562.01
CI005001.CI,20260703,3327.2927,3252.1909,3424.7283,3331.0044,3308.983,22.0214,0.6655,22220800.64,26758924.62
CI005001.CI,20260702,3246.4383,3213.9171,3378.8201,3308.9863,3295.4092,13.5771,0.412,19158583.56,26931034.95
CI005001.CI,20260701,3212.2006,3167.224,3344.0618,3295.396,3205.7383,89.6577,2.7968,21061255.15,29040283.06
CI005001.CI,20260630,3250.339,3145.8291,3297.3602,3205.7383,3262.4229,-56.6846,-1.7375,22362641.08,25908077.06
CI005001.CI,20260629,3251.6736,3141.4596,3322.6759,3262.4197,3266.4341,-4.0144,-0.1229,20708305.77,23575266.55
CI005001.CI,20260626,3364.4993,3224.4624,3399.08,3281.8977,3306.0773,-24.1796,-0.7314,22803746.52,25668002.83
CI005001.CI,20260625,3336.586,3233.4914,3395.4289,3306.0773,3375.4461,-69.3688,-2.0551,23627720.2,25631420.81
CI005001.CI,20260624,3360.6362,3305.6276,3458.5647,3375.4393,3364.1124,11.3269,0.3367,20807723.58,22778404.62
CI005001.CI,20260623,3418.0462,3338.1567,3515.7068,3364.1057,3417.2472,-53.1415,-1.5551,21952569.04,24708790.22
CI005001.CI,20260622,3336.432,3272.7582,3452.5725,3417.2438,3328.561,88.6828,2.6643,21905644.72,24337742.5
CI005001.CI,20260618,3396.0685,3290.2242,3431.1687,3328.5578,3402.3894,-73.8316,-2.17,20440867.91,21830813.23
CI005001.CI,20260617,3400.0896,3337.146,3469.2235,3402.3927,3420.9205,-18.5278,-0.5416,20462274.1,23521236.68
CI005001.CI,20260616,3461.6989,3385.4523,3521.2953,3420.9069,3469.8172,-48.9103,-1.4096,21486259.51,24318870.88
CI005001.CI,20260615,3456.8811,3398.8053,3554.772,3469.8137,3471.1675,-1.3538,-0.039,27152498.56,29592823.61
CI005001.CI,20260612,3389.5781,3346.8585,3540.3643,3471.1675,3421.4066,49.7609,1.4544,29555332.21,29993119.04
CI005001.CI,20260611,3469.0252,3357.8103,3504.7348,3421.4067,3419.625,1.7817,0.0521,20559369.67,21120269.84
CI005001.CI,20260610,3417.1454,3353.8159,3481.8717,3419.625,3431.1089,-11.4839,-0.3347,18596126.97,17999863.55
CI005001.CI,20260609,3479.0798,3374.0988,3532.485,3431.1226,3514.0942,-82.9716,-2.3611,24284591.9,23119795.94
CI005001.CI,20260608,3494.8531,3433.0138,3608.5066,3514.1047,3515.7501,-1.6454,-0.0468,27517231.05,25501805.81
CI005001.CI,20260605,3476.9951,3443.654,3597.5679,3515.7536,3485.5271,30.2265,0.8672,27930732.56,22866065.23
CI005001.CI,20260604,3514.157,3433.0497,3558.0303,3485.5097,3543.8626,-58.3529,-1.6466,20864206.95,19166838.6
CI005001.CI,20260603,3507.0329,3435.1291,3579.4976,3543.852,3496.6267,47.2253,1.3506,25720089.97,22529273.24
CI005001.CI,20260602,3519.7404,3444.9128,3585.4832,3496.6196,3496.7036,-0.084,-0.0024,19437980.89,19995914.58
CI005001.CI,20260601,3442.7346,3404.8414,3546.044,3496.7001,3434.191,62.5091,1.8202,20182566.65,20144928.4
CI005001.CI,20260529,3447.3049,3388.9667,3499.4666,3434.1875,3453.5794,-19.3919,-0.5615,17248183.54,16870409.76
CI005001.CI,20260528,3438.5981,3396.5087,3523.8738,3453.5794,3449.5744,4.005,0.1161,18872255.45,16697341.96
CI005001.CI,20260527,3509.7754,3395.2494,3542.5961,3449.5709,3522.9576,-73.3867,-2.0831,23120016.1,20478009.76
CI005001.CI,20260526,3474.5903,3424.8465,3559.1132,3522.9646,3479.0417,43.9229,1.2625,22248394.7,18943615.97
