ts_code,indx_name,indx_csname,pub_party_name,pub_date,base_date,bp,adj_circle
000001.SH,上证综合指数,上证指数,中证指数有限公司、上海证券交易所,19910715,19901219,100.0,自动调整
000010.SH,上证180指数,上证180,中证指数有限公司、上海证券交易所,20020701,20020628,3299.06,半年
000016.SH,上证50指数,上证50,中证指数有限公司、上海证券交易所,20040102,20031231,1000.0,半年
399001.SZ,深证成份指数,深证成指,深圳证券信息有限公司、深圳证券交易所,19950123,19940720,1000.0,半年
000015.SH,上证红利指数,红利指数,中证指数有限公司、上海证券交易所,20050104,20041231,1000.0,一年
000300.SH,沪深300指数,沪深300,中证指数有限公司、上海证券交易所,20050408,20041231,1000.0,半年
N225.JT,日经225指数,日经225指数,东京证券交易所,19500907,19490513,176.21,
GDAXI.GY,德国法兰克福DAX指数,德国法兰克福DAX指数,德国法兰克福证券交易所,19880101,19871230,1000.0,
NDX.NASDAQ,纳斯达克100指数,纳斯达克100指数,美国纳斯达克证券交易所,19850201,19850131,125.0,
SPX.OTH,标普500指数,标普500指数,标普道琼斯指数有限公司,19570304,19280103,10.0,
XIN9.OTH,富时中国A50指数,富时中国A50指数,富时罗素,20030721,20010316,5000.0,三个月
000901.SH,中证南方小康产业指数,小康指数,中证指数有限公司,20100402,20051230,1000.0,半年
399330.SZ,深证100指数,深证100,深圳证券信息有限公司、深圳证券交易所,20060124,20021231,1000.0,半年
399324.SZ,深证红利指数,深证红利,深圳证券信息有限公司、深圳证券交易所,20060124,20021231,1000.0,半年
399326.SZ,深证成长40指数,成长40,深圳证券信息有限公司、深圳证券交易所,20060124,20021231,1000.0,半年
000903.SH,中证A100指数,中证A100,中证指数有限公司,20060529,20051230,1000.0,半年
000905.SH,中证小盘500指数,中证500,中证指数有限公司,20070115,20041231,1000.0,半年
000906.SH,中证800指数,中证800,中证指数有限公司,20070115,20041231,1000.0,半年
000913.SH,沪深300医药卫生指数,300医药,中证指数有限公司,20070702,20041231,1000.0,半年
000914.SH,沪深300金融地产指数,300金融,中证指数有限公司,20070702,20041231,1000.0,半年
000018.SH,上证180金融股指数,180金融,中证指数有限公司、上海证券交易所,20071210,20020628,1000.0,半年
000918.CSI,沪深300成长指数,300成长,中证指数有限公司,20080121,20041231,1000.0,半年
000919.CSI,沪深300价值指数,300价值,中证指数有限公司,20080121,20041231,1000.0,半年
000922.CSI,中证红利指数,中证红利,中证指数有限公司,20080526,20041231,1000.0,一年
000021.SH,上证180公司治理指数,180治理,中证指数有限公司、上海证券交易所,20080910,20070629,1000.0,半年
399005.SZ,中小企业100指数,中小100,深圳证券信息有限公司、深圳证券交易所,20060124,20050607,1000.0,半年
H11014.CSI,中证短融指数,中证短融,中证指数有限公司,20081112,20070131,100.0,一个月
000029.SH,上证180价值指数,180价值,中证指数有限公司、上海证券交易所,20090109,20020628,1000.0,半年
000036.SH,上证主要消费行业指数,上证消费,中证指数有限公司、上海证券交易所,20090109,20031231,1000.0,半年
000037.SH,上证医药卫生行业指数,上证医药,中证指数有限公司、上海证券交易所,20090109,20031231,1000.0,半年
000038.SH,上证金融地产行业指数,上证金融,中证指数有限公司、上海证券交易所,20090109,20031231,1000.0,半年
000925.CSI,中证锐联基本面50指数,基本面50,中证指数有限公司,20090226,20041231,1000.0,一年
000042.SH,上证中央企业50指数,上证央企,中证指数有限公司、上海证券交易所,20090330,20081231,1000.0,半年
000043.SH,上证超级大盘指数,超大盘,中证指数有限公司、上海证券交易所,20090423,20031231,1000.0,半年
931798.CSI,中证光伏龙头30指数,光伏龙头30,中证指数有限公司,20090616,20161230,1000.0,半年
000928.SH,中证能源指数,800能源,中证指数有限公司,20090703,20041231,1000.0,半年
000932.SH,中证主要消费指数,800消费,中证指数有限公司,20090703,20041231,1000.0,半年
000933.SH,中证医药卫生指数,800医卫,中证指数有限公司,20090703,20041231,1000.0,半年
000934.SH,中证金融地产指数,800金地,中证指数有限公司,20090703,20041231,1000.0,半年
000936.CSI,中证通信服务指数,800通信,中证指数有限公司,20090703,20041231,1000.0,半年
000044.SH,上证中盘指数,上证中盘,中证指数有限公司、上海证券交易所,20090703,20031231,1000.0,半年
000048.SH,上证社会责任指数,责任指数,中证指数有限公司、上海证券交易所,20090805,20090630,1000.0,一年
H11052.CSI,中证智能电动汽车指数,智能电车,中证指数有限公司,20090722,20141231,1000.0,半年
H11054.CSI,中证装备产业指数,装备产业,中证指数有限公司,20090722,20081231,1000.0,半年
931461.CSI,中证电子50指数,电子50,中证指数有限公司,20090722,20081231,1000.0,半年
H11057.CSI,中证石化产业指数,石化产业,中证指数有限公司,20090722,20081231,1000.0,半年
H11059.CSI,中证工业有色金属主题指数,工业有色,中证指数有限公司,20090722,20081231,1000.0,半年
399361.SZ,国证在线消费指数,在线消费,深圳证券信息有限公司,20090803,20041231,1000.0,半年
399362.SZ,国证民企领先100指数,民企100,深圳证券信息有限公司,20090803,20041231,1000.0,半年
000941.CSI,中证内地新能源主题指数,新能源,中证指数有限公司,20091028,20081231,1000.0,半年
000948.CSI,中证内地地产主题指数,内地地产,中证指数有限公司,20091028,20041231,1000.0,半年
000949.CSI,中证农业主题指数,中证农业,中证指数有限公司,20091028,20041231,1000.0,半年
399007.SZ,深证300指数,深证300,深圳证券信息有限公司、深圳证券交易所,20091104,20041231,1000.0,半年
399348.SZ,深证300价值指数,深证价值,深圳证券信息有限公司、深圳证券交易所,20091104,20041231,1000.0,半年
399365.SZ,国证粮食产业指数,国证粮食,深圳证券信息有限公司,20091104,20041231,1000.0,半年
CSPSADRP.OTH,标普中国A股红利机会指数,标普中国A股红利机会指数,标普道琼斯指数有限公司,20080911,20040618,1000.0,半年
000056.SH,上证国有企业100指数,上证国企,中证指数有限公司、上海证券交易所,20100104,20090630,1000.0,半年
399372.SZ,国证大盘成长指数,大盘成长,深圳证券信息有限公司,20100104,20021231,1000.0,半年
