ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20260821,3905.2026,3891.1751,3912.1314,3883.787,3903.721,1.4816,0.038,446895868,883423480.0986
000001.SH,20260820,3903.721,3907.2058,3925.0615,3888.0989,3894.4224,9.2986,0.2388,506633954,1018568353.1768
000001.SH,20260819,3894.4224,3952.1219,3961.1368,3879.5785,3990.3037,-95.8813,-2.4029,572191213,1218107974.0561
000001.SH,20260818,3990.3037,3979.4898,3994.1812,3955.6012,3982.6535,7.6502,0.1921,511234287,1135187666.3953
000001.SH,20260817,3982.6535,3930.1044,3983.5066,3924.4738,3927.1764,55.4771,1.4126,489834027,1112818620.627
000001.SH,20260814,3927.1764,3930.0215,3932.6405,3903.7048,3926.9648,0.2116,0.0054,499525613,990371924.2377
000001.SH,20260813,3926.9648,3957.1612,3968.4758,3924.6418,3946.6752,-19.7104,-0.4994,572793677,1164203068.5298
000001.SH,20260812,3946.6752,3933.5533,3950.6213,3927.5489,3934.0929,12.5823,0.3198,503257011,986122393.8171
000001.SH,20260811,3934.0929,3950.7078,3966.391,3930.6386,3966.5935,-32.5006,-0.8194,529490944,1066737091.8231
000001.SH,20260810,3966.5935,3943.816,3967.5919,3938.625,3940.0371,26.5564,0.674,542118110,1166893282.3538
000001.SH,20260807,3940.0371,3896.4854,3940.9347,3885.6248,3900.3523,39.6848,1.0175,564988582,1209543573.2944
000001.SH,20260806,3900.3523,3864.2734,3902.0543,3864.2734,3878.4296,21.9227,0.5652,588555280,1166818677.2252
000001.SH,20260805,3878.4296,3815.1217,3884.3971,3815.1217,3822.2846,56.145,1.4689,592155124,1208723017.752
000001.SH,20260804,3822.2846,3816.3699,3831.94,3799.5244,3809.6629,12.6217,0.3313,540324922,1008382536.9054
000001.SH,20260803,3809.6629,3812.6129,3827.6359,3797.6431,3832.2624,-22.5995,-0.5897,524516960,952256890.1023
000001.SH,20260731,3832.2624,3833.5359,3847.0926,3822.3736,3804.6926,27.5698,0.7246,597529427,1187681546.3933
000001.SH,20260730,3804.6926,3812.111,3839.3407,3767.5033,3828.469,-23.7764,-0.621,592298923,1106477266.4618
000001.SH,20260729,3828.469,3823.2931,3845.7661,3782.4811,3813.3146,15.1544,0.3974,571226391,1087407759.0961
000001.SH,20260728,3813.3146,3823.1331,3844.0118,3797.3727,3858.245,-44.9304,-1.1645,494829126,949683080.1264
000001.SH,20260727,3858.245,3808.9032,3858.3097,3793.4489,3814.1978,44.0472,1.1548,504879454,1031312143.0652
000001.SH,20260724,3814.1978,3853.6316,3861.0404,3808.6359,3876.7774,-62.5796,-1.6142,508203905,915366398.2926
000001.SH,20260723,3876.7774,3868.0871,3878.8318,3851.7058,3867.0336,9.7438,0.252,562122601,1025875517.7001
000001.SH,20260722,3867.0336,3839.6654,3884.4352,3839.6654,3864.3671,2.6665,0.069,614255215,1258148128.16
000001.SH,20260721,3864.3671,3812.1618,3864.6002,3743.3601,3796.2814,68.0857,1.7935,735021925,1396517619.5639
000001.SH,20260720,3796.2814,3791.6616,3831.6593,3741.1099,3764.1547,32.1267,0.8535,709234069,1294651895.8447
000001.SH,20260717,3764.1547,3865.3165,3869.2148,3745.1744,3882.4126,-118.2579,-3.046,650450984,1246445452.8363
000001.SH,20260716,3882.4126,3912.3812,3940.4505,3867.6012,3955.5781,-73.1655,-1.8497,535281873,1124208166.2138
000001.SH,20260715,3955.5781,3963.7267,3981.6716,3943.6953,3967.1262,-11.5481,-0.2911,576209492,1226298269.8972
000001.SH,20260714,3967.1262,3909.274,3967.1262,3869.3042,3913.794,53.3322,1.3627,579982052,1271796839.6785
000001.SH,20260713,3913.794,3966.0234,3983.0535,3900.6676,3996.1616,-82.3676,-2.0612,590907356,1334871933.909
000001.SH,20260710,3996.1616,4031.5373,4074.828,3995.8072,4036.5879,-40.4263,-1.0015,627450065,1563108691.5427
