ts_code,trade_date,open,high,low,close,pre_close,avg_price,change,pct_change,vol,turnover_rate
865001.TI,20260821,4510.676,4538.813,4464.832,4485.455,4502.09,183.944,-16.635,-0.3695,22188.57,
865001.TI,20260818,4547.391,4600.78,4545.578,4551.171,4635.617,191.7892,-84.446,-1.8217,34657.38,
865001.TI,20260817,4604.095,4640.786,4599.18,4635.811,4628.849,245.8094,6.962,0.1504,23606.04,
865001.TI,20260814,4582.135,4632.725,4578.512,4628.849,4588.362,224.3496,40.487,0.8824,20093.38,0.631409
865001.TI,20260813,4561.008,4598.687,4552.913,4588.362,4549.293,206.9147,39.069,0.8588,23977.69,0.753469
865001.TI,20260812,4565.224,4582.947,4536.155,4549.293,4519.729,210.9378,29.564,0.6541,25063.68,0.787601
865001.TI,20260811,4531.378,4567.372,4495.539,4519.729,4489.314,164.4296,30.415,0.6775,22082.81,0.69393
865001.TI,20260810,4536.395,4557.875,4459.557,4489.314,4544.543,195.365,-55.229,-1.2153,24262.43,0.762423
865001.TI,20260807,4523.214,4558.697,4487.361,4544.543,4505.231,191.9652,39.312,0.8726,25399.81,0.798164
865001.TI,20260806,4549.316,4579.328,4494.912,4505.231,4522.257,225.7034,-17.026,-0.3765,22072.4,0.693603
865001.TI,20260805,4531.971,4572.361,4517.42,4522.257,4551.298,282.2305,-29.041,-0.6381,28165.36,0.885122
865001.TI,20260804,4303.158,4573.113,4303.158,4551.298,4610.287,317.8567,-58.989,-1.2795,43739.34,1.374548
865001.TI,20260803,4548.739,4628.214,4532.411,4610.287,4566.142,292.2259,44.145,0.9668,33540.09,1.05399
865001.TI,20260730,4553.007,4595.519,4501.696,4546.715,4470.068,227.824,76.647,1.7147,40634.31,1.276583
865001.TI,20260729,4592.034,4601.649,4462.598,4470.068,4587.469,214.2546,-117.401,-2.5592,40769.04,1.281697
865001.TI,20260728,4609.121,4623.182,4550.916,4587.469,4625.835,278.2622,-38.366,-0.8294,73711.7,2.317348
865001.TI,20260727,4676.291,4708.442,4564.399,4625.835,4666.14,196.3482,-40.305,-0.8638,32690.69,1.014316
865001.TI,20260723,4670.773,4759.993,4670.773,4716.629,4724.564,205.0216,-7.935,-0.168,31261.56,0.969973
865001.TI,20260722,4672.702,4740.7,4637.921,4724.564,4677.9,228.0553,46.664,0.9975,25052.74,0.777328
865001.TI,20260721,4833.344,4833.344,4646.501,4677.9,4695.425,196.6895,-17.525,-0.3732,35737.77,1.108859
865001.TI,20250203,2613.052,2670.025,2606.54,2654.585,2659.504,117.6981,-4.919,-0.185,26001.11,0.799487
865001.TI,20250131,2647.99,2664.158,2623.215,2659.504,2662.083,114.4456,-2.579,-0.0969,33112.51,1.01815
865001.TI,20250130,2683.79,2687.718,2649.678,2662.083,2649.093,121.1401,12.99,0.4904,20741.62,0.637767
865001.TI,20250129,2657.263,2674.608,2636.334,2649.093,2660.708,117.9351,-11.615,-0.4365,16523.98,0.508083
865001.TI,20250128,2676.527,2679.426,2640.265,2660.708,2664.572,119.2363,-3.864,-0.145,23262.13,0.715268
865001.TI,20250127,2676.952,2690.034,2628.043,2664.572,2723.356,124.6626,-58.784,-2.1585,28144.99,0.865408
865001.TI,20250124,2747.74,2751.607,2710.633,2723.356,2752.356,129.7192,-29.0,-1.0536,17121.3,0.526449
865001.TI,20250123,2755.305,2756.257,2732.787,2752.356,2752.512,121.5512,-0.156,-0.0057,16904.64,0.519787
865001.TI,20250122,2814.753,2831.829,2749.38,2752.512,2813.793,125.03,-61.281,-2.1779,19792.57,0.608586
865001.TI,20250121,2782.266,2820.412,2769.804,2813.793,2755.313,128.993,58.48,2.1224,19024.15,0.584958
865001.TI,20250117,2740.488,2783.847,2740.488,2755.313,2745.807,124.6474,9.506,0.3462,20918.26,0.643199
865001.TI,20250116,2701.518,2746.484,2701.518,2745.807,2697.045,111.4173,48.762,1.808,19719.36,0.606335
865001.TI,20250115,2719.094,2725.162,2690.476,2697.045,2660.035,121.3569,37.01,1.3913,20258.54,0.622913
865001.TI,20250114,2641.257,2660.169,2619.775,2660.035,2615.403,114.3812,44.632,1.7065,26594.25,0.817725
865001.TI,20250113,2555.285,2615.403,2555.285,2615.403,2593.953,109.9313,21.45,0.8269,17549.04,0.539601
865001.TI,20250110,2618.575,2618.575,2582.106,2593.953,2653.394,110.7624,-59.441,-2.2402,19871.58,0.611015
865001.TI,20250108,2643.376,2665.422,2620.88,2653.394,2669.942,113.0948,-16.548,-0.6198,17465.98,0.537047
865001.TI,20250107,2709.423,2714.069,2639.105,2669.942,2708.72,113.3682,-38.778,-1.4316,19346.29,0.594863
865001.TI,20250106,2747.824,2766.72,2704.842,2708.72,2730.315,107.6024,-21.595,-0.7909,18540.27,0.57008
865001.TI,20250103,2707.292,2738.2,2703.226,2730.315,2704.857,106.4173,25.458,0.9412,15131.7,0.465272
